Customer id,Avg no of transactions per year,Avg revenue per transaction,Retention rate,CLTV Score
100108487,1.178571429,5795.238095,0.89,#NAME?
100108488,5.178571429,8705.238785,0.99,
100108489,8.178571429,5745.267095,0.79,
100108490,6.178571429,3495.245095,0.69,
100108491,5.178571429,8795.348095,0.99,
100108492,8.178571429,1295.238095,0.79,
100108493,7.178571429,6547.238095,0.89,
100108494,9.178571429,8970.238095,0.99,
100108495,8.178571429,9078.238095,0.56,
100108496,7.178571429,8756.238095,0.96,
100108497,8.178571429,9870.238095,0.8,
100108499,5.178571429,6758.238095,0.87,
